************************************************
*    Row   *     el.UZ *      el.E *       wgt *
*      303 * 0.0579191 * 264.96780 * 1.2799999 *
*      304 * 0.7489556 * 547.36377 * 1.2799999 *
*      305 * 0.4471082 * 394.49307 *         1 *
*      306 * -0.025904 * 433.52462 * 1.2799999 *
*      307 * -0.303430 * 242.18316 * 1.2799999 *
*      308 * 0.9670311 * 904.41821 *         1 *
*      309 * 0.9551738 * 448.97146 * 1.0513637 *
*      310 * 0.6879234 * 404.38559 * 1.2799999 *
*      311 * 0.3452954 * 459.88574 * 1.2799999 *
*      312 * 0.8495329 * 638.68884 * 1.2799999 *
*      313 * 0.6740237 * 766.41119 * 1.2799999 *
*      314 * -0.976118 * 253.62385 * 1.2799999 *
*      315 * 0.8471836 * 456.36074 * 1.2799999 *
*      316 * -0.144936 * 292.22918 * 1.2799999 *
*      317 * 0.8914504 * 265.44271 * 0.9708979 *
*      318 * 0.8670169 * 527.47247 * 0.9689658 *
*      319 * 0.2935984 * 543.31982 * 0.9660001 *
*      320 * -0.672328 * 239.28282 * 1.2799999 *
*      321 * 0.8227535 * 835.99060 * 1.1486085 *
*      322 * 0.8216171 * 862.39837 * 1.2799999 *
*      323 * -0.228047 * 437.60058 * 1.2799999 *
*      324 * -0.404430 * 199.13555 *         1 *
*      325 * 0.8512805 * 1017.0058 * 0.9707092 *
*      326 * 0.6868402 * 549.11993 * 1.2799999 *
*      327 * 0.7400641 * 296.36099 * 1.2799999 *
*      328 * 0.8008832 * 440.83337 * 0.9670633 *
*      329 * 0.8632162 * 911.08435 * 1.2799999 *
*      330 * 0.2655290 * 426.75027 * 0.9712190 *
*      331 * 0.3890518 * 487.43884 * 1.2799999 *
*      332 * 0.9666777 * 1176.7181 * 0.9688370 *
*      333 * -0.143751 * 375.17437 * 1.2799999 *
*      334 * 0.9195402 * 805.30633 * 1.2799999 *
*      335 * 0.1448339 * 338.31243 * 1.2799999 *
*      336 * -0.662292 * 218.03309 * 1.2799999 *
*      337 * 0.0909627 * 283.66281 * 1.2799999 *
*      338 * 0.8477694 * 830.59552 * 1.2799999 *
*      339 * 0.9696923 * 950.08374 * 0.9754459 *
*      340 * 0.3889730 * 644.58984 * 1.2799999 *
*      341 * 0.7285473 * 505.93615 * 1.2799999 *
*      342 * 0.9141674 * 905.84179 * 0.9825323 *
*      343 * 0.6368050 * 323.66250 * 1.2799999 *
*      344 * 0.6382553 * 632.30419 * 0.9684923 *
*      345 * 0.9192314 *  713.9375 *         1 *
*      346 * 0.8665745 * 872.37420 * 1.2799999 *
*      347 * -0.170525 * 301.13961 * 1.2799999 *
*      348 * 0.8510113 * 929.93170 * 1.2799999 *
*      349 * 0.9820364 * 328.64993 * 1.2799999 *
*      350 * 0.7172369 * 408.97757 * 0.9687378 *
*      351 * 0.8278246 * 681.24322 * 0.9695630 *
*      352 * 0.4923297 * 745.58447 * 1.2799999 *
*      353 * 0.6040149 * 492.74719 * 1.1571558 *
*      354 * 0.8621715 * 833.41528 * 0.9732265 *
*      355 * 0.1694902 * 514.67272 * 1.2799999 *
*      356 * -0.890960 * 330.34707 * 0.9702377 *
*      357 * 0.4342806 * 684.82641 * 1.2799999 *
*      358 * 0.5660998 * 496.27841 * 1.2799999 *
*      359 * 0.9256223 * 354.24896 * 1.2799999 *
*      360 * 0.9052072 * 539.82019 * 1.2799999 *
*      361 * 0.4083985 * 433.67135 * 0.9737393 *
*      362 * 0.7724025 * 524.16497 * 0.9676995 *
*      363 * 0.8540533 * 376.72546 * 0.9684906 *
*      364 * 0.9850069 * 938.49090 * 1.1504601 *
*      365 * -0.839005 * 244.67565 *         1 *
*      366 * 0.2781967 * 421.23403 * 1.2799999 *
*      367 * 0.8892470 * 701.79992 * 1.2799999 *
*      368 * -0.812717 * 348.83047 * 1.2799999 *
*      369 * 0.8478286 * 425.13882 * 1.2799999 *
*      370 * 0.8515667 * 939.84820 * 1.2799999 *
*      371 * 0.9335675 * 967.57482 * 1.2799999 *
*      372 * 0.6008131 * 562.14807 * 1.2799999 *
*      373 * 0.5368062 * 214.58126 *         1 *
*      374 * 0.7445437 * 493.80007 * 1.2799999 *
*      375 * 0.9393486 * 934.69354 * 1.2799999 *
*      376 * -0.927949 * 280.74923 * 0.9696943 *
*      377 * 0.8744032 * 628.62255 * 0.9675280 *
*      378 * 0.8691449 * 523.73010 *         1 *
*      379 * 0.7919816 * 684.95837 *         1 *
*      380 * 0.8332597 * 772.58923 * 0.9688255 *
*      381 * 0.6077318 * 562.63220 * 1.2799999 *
*      382 * 0.1711746 * 340.84573 *         1 *
*      383 * 0.6241545 * 449.13470 *         1 *
*      384 * -0.591993 * 245.48486 * 1.2799999 *
*      385 * 0.2105043 * 395.87496 * 0.9705470 *
*      386 * 0.7467484 * 592.05835 * 0.9674986 *
*      387 * 0.8709141 * 621.36798 * 0.9677498 *
*      388 * -0.760807 * 283.77774 * 1.2799999 *
*      389 * 0.6931009 * 313.62213 * 0.9688634 *
*      390 * 0.5196980 * 452.74566 *         1 *
*      391 * -0.354980 * 346.89273 * 1.2799999 *
*      392 * 0.6258061 * 499.90853 * 0.9682253 *
*      393 * 0.8244268 * 425.27102 * 1.0786318 *
*      394 * 0.6762605 * 711.69616 * 1.2799999 *
*      395 * -0.010367 * 371.10485 * 1.2799999 *
